ID,NAME,z,ra,dec,x ,y,xc,yc,a,f1,f2,g1,g2,xs,ys
11,abell2744_203,1.6205,3.558471737,-30.4215649,232.8987357,60.41928409,-1.186601517,-1.648899838,0.166598652,0.221607879,-0.408590436,0.165523122,-0.624159225,234.0853372,62.06818392
13,abell2744_209,0.4273,3.560751357,-30.42227301,225.6643425,58.81989291,-1.343754147,-0.700533779,0.281620864,0.34048538,-0.708528913,-0.165225483,0.462962016,227.0080966,59.52042669
14,abell2744_281ep1,1.8033,3.561208995,-30.41985184,224.6532984,66.66055385,-0.935873879,-1.57635023,0.137000214,-1.176150155,-0.301135499,0.58763779,1.144466968,225.5891723,68.23690408
15,abell2744_329,2.3865,3.563077427,-30.41697836,216.7748653,72.61919498,-3.01583527,-5.963256854,0.614914358,0.089693425,0.116998936,0.180488202,0.033153953,219.7907006,78.58245183
16,abell2744_334,0.999,3.562327046,-30.4177351,221.2297672,78.73592302,-0.889968596,2.878136068,0.3805212,-0.154412692,-0.469806516,-0.324540987,0.214273526,222.1197358,75.85778695
17,abell2744_348ep1,3.3899,3.558657163,-30.41741644,231.7160156,76.26672152,-1.796996745,-0.735996642,0.16855421,0.284815462,-0.989214423,1.083209611,-1.050467713,233.5130123,77.00271816
19,abell2744_355,2.3865,3.563026332,-30.41680878,218.8122505,77.66979084,-1.137185364,-1.523105508,0.295278238,-0.824261373,-0.074531911,-0.191996179,0.01983958,219.9494359,79.19289635
20,abell2744_361ep1,3.0022,3.558672504,-30.41694309,231.665572,78.02700125,-1.800191995,-0.679761097,0.255064682,-0.401780653,0.208026812,2.614014424,0.959056318,233.465764,78.70676234
21,abell2744_372,1.0566,3.561840998,-30.41642366,222.6143426,76.71677652,-1.015222402,-3.861878845,0.239005525,-0.23080671,1.13654627,-0.157530219,1.100167115,223.629565,80.57865536
23,abell2744_394,0.8681,3.551570131,-30.41532047,255.8025931,84.93754548,0.285926209,0.394715477,0.618098764,0.029386564,-0.296999656,-0.386497356,0.176063769,255.5166669,84.54283
25,abell2744_419,0.3198,3.550040118,-30.41506283,258.8628961,84.233302,-1.404037074,-1.235691453,0.340970743,-0.12370735,0.093517098,0.164394252,-0.14277416,260.2669331,85.46899346
27,abell2744_438,0.6407,3.561461903,-30.41467269,222.7487477,85.38263853,-2.058959631,-1.499284608,0.277591986,0.361923357,0.266529325,-0.699136171,-0.6985282,224.8077074,86.88192313
28,abell2744_442ep1,0.6286,3.551786088,-30.41415191,253.3272195,86.37592272,-1.520184028,-2.373899856,0.650286297,0.179736798,-0.023742828,0.063686458,-0.412677064,254.8474035,88.74982257
30,abell2744_457,1.9143,3.557246876,-30.41411496,235.8063023,87.21597796,-2.087685162,-1.671059167,0.200899556,0.044609498,0.217591615,0.586365715,0.310358814,237.8939875,88.88703712
31,abell2744_461,1.6594,3.558717022,-30.4140087,230.8432843,87.504131,-2.486601468,-1.766466303,0.165455553,0.904217089,-0.094461788,0.199382196,0.738348047,233.3298857,89.2705973
32,abell2744_462ep1,0.8627,3.572532367,-30.41393285,188.8153179,87.77151761,-1.623708757,-1.77857696,0.1535605,-0.180293264,1.153494433,0.858947056,-0.457575033,190.4390266,89.55009457
33,abell2744_465,0.4008,3.547717079,-30.41370988,266.5495786,88.36622122,-0.930890886,-1.971236121,0.306381479,-0.269772101,0.254853653,-0.006530787,0.062214857,267.4804694,90.33745735
35,abell2744_477,0.8145,3.541069411,-30.41346401,286.4517193,89.98722019,-1.667388976,-1.228376467,0.235977015,-0.124078373,-0.299338897,0.892077479,0.216296839,288.1191083,91.21559666
36,abell2744_479ep1,0.8448,3.557382926,-30.41352798,234.9492229,88.78366099,-2.522877656,-2.216614953,0.210932222,0.17878842,0.97669312,-0.824177775,1.262494013,237.4721006,91.00027594
37,abell2744_484ep1,1.0517,3.549926495,-30.41343904,259.2321283,90.24660741,-1.389295351,-1.067923996,0.173948596,-0.436428301,-0.133547449,0.724728457,-0.913542471,260.6214236,91.3145314
38,abell2744_488,2.8897,3.560171599,-30.41343465,228.186276,89.49389978,-0.628186289,-1.84417801,0.269137823,-0.761285961,0.44155944,-0.646203425,0.202918432,228.8144623,91.33807779
41,abell2744_501,0.3504,3.554327543,-30.41309347,245.3428205,91.36188148,-1.615425845,-1.200381047,0.273090998,-0.225740074,0.093596377,0.246869624,-0.180881172,246.9582463,92.56226253
42,abell2744_511,1.3664,3.575256612,-30.41272997,178.798069,90.89445344,-3.183629012,-2.986665675,0.377953753,-0.220478079,-0.358765619,-0.561704668,-0.12956389,181.981698,93.88111911
43,abell2744_518,0.3969,3.536592042,-30.41285625,299.9259417,92.21640414,-2.094523234,-1.181725724,0.089001507,0.138087136,-1.286073637,6.439160843,-6.402628881,302.0204649,93.39812986
44,abell2744_519ep1,0.6829,3.547389775,-30.41244335,265.9954399,92.96338004,-2.502638648,-1.933258194,0.139853504,1.376047983,0.686789938,-0.000125258,1.026726698,268.4980785,94.89663823
45,abell2744_520,0.3969,3.536534102,-30.41276633,300.324171,92.15846267,-1.876309785,-1.563301483,0.195781318,-0.352139798,-0.595223818,-0.92613005,-0.379153232,302.2004808,93.72176415
46,abell2744_533,0.4591,3.544002445,-30.41235021,278.6806474,92.62770654,-0.333967199,-2.600772455,0.257708532,-0.307269015,0.406539039,0.083848324,-0.319738626,279.0146146,95.22847899
47,abell2744_537ep1,0.7481,3.547209695,-30.41225499,266.3097525,93.56288635,-2.747625903,-2.011649733,0.246139815,-0.779781422,0.373180289,-1.426035049,-1.60117799,269.0573784,95.57453608
48,abell2744_546,0.4792,3.536227036,-30.41155209,300.7298395,97.11080197,-2.425797368,-0.981846792,0.289342941,0.197609404,0.02780061,0.268975071,-0.088261303,303.1556368,98.09264876
50,abell2744_588ep1,1.9181,3.537224004,-30.41067738,298.8592104,99.24729637,-1.202469492,-1.995532191,0.291697927,0.424167772,-0.497254113,0.384335267,-0.079808506,300.0616798,101.2428286
51,abell2744_594ep1,0.7065,3.535539196,-30.41019719,303.1203497,100.3792402,-2.172871845,-2.590124442,0.321852137,0.538859093,0.340790153,-0.885856128,-0.751350963,305.2932215,102.9693646
52,abell2744_599,0.4686,3.541344473,-30.41042253,285.4700752,101.7827608,-1.799169889,-0.382438254,0.311481052,0.126184283,-0.169599294,0.204216097,-1.373359794,287.2692451,102.1651991
53,abell2744_606ep1,0.7065,3.53555163,-30.41006932,304.2526844,102.743643,-1.002131075,-0.686090159,0.22549862,-0.268686512,-1.828411492,0.895896566,0.681775692,305.2548155,103.4297331
54,abell2744_626ep1,0.8509,3.545353679,-30.40964456,272.6714531,103.9626314,-2.151366082,-1.007564112,0.238916626,0.375916065,-0.40691074,-0.588707433,-0.217223354,274.8228192,104.9701956
55,abell2744_627ep1,1.6274,3.552801451,-30.4095763,249.3674373,105.0401599,-2.332186939,-0.18265523,0.177820167,0.843086953,-1.242627145,0.064235567,0.318312077,251.6996243,105.2228151
58,abell2744_682ep1,1.0436,3.547245784,-30.40786257,267.5906212,110.1195853,-1.359802793,-1.267645998,0.407371401,-0.082768179,0.042263023,0.232415468,0.066344879,268.950424,111.3872313
59,abell2744_686ep1,2.1113,3.551590334,-30.40824373,252.3357321,108.818228,-3.125435854,-1.200802683,0.189695983,1.67480134,-0.194485274,-0.2979534,0.55656042,255.4611679,110.0190307
61,abell2744_707,1.3116,3.538349816,-30.40718848,296.3567337,113.7752238,-0.214679392,-0.029024364,0.512240955,-0.303034495,-0.434410504,0.322967219,0.38694196,296.5714131,113.8042482
62,abell2744_711,1.5907,3.546020394,-30.40730772,270.7620353,109.8278718,-1.993617404,-3.555609685,0.313903326,-0.600153992,-0.208630208,-1.028142159,0.737483334,272.7556527,113.3834814
63,abell2744_719,1.5907,3.546019577,-30.40738254,270.7811133,118.5440705,-1.976986436,5.429941212,0.311101461,-0.619194713,-0.212998474,-1.034764962,0.703228723,272.7580997,113.1141293
64,abell2744_726ep1,0.4701,3.546938723,-30.40707353,267.2704712,112.5918964,-2.634231128,-1.635582394,0.425675194,0.565024586,0.106783199,-0.105624731,-0.560757549,269.9047024,114.2274788
