q,seed,ok,n_src,n_rec,matched,x,y,kappa_star,slope,rchi2
0.9,8018,True,100,1,True,0.19613947213821553,-0.038902052234217055,0.3173687234256476,0.6056065470773626,0.9861548588173311
0.9,8019,True,99,1,True,-0.2989244757576338,0.4269260492155616,0.2685710345556511,0.6834779090035816,0.8904242096219528
0.9,8020,True,99,1,True,-0.10168173503704514,-0.36396679337093063,0.33295845635541516,0.6291924860057225,1.042526553717083
0.9,8021,True,100,1,True,-0.00037594792625240893,-0.1386642497987943,0.23415301434750702,0.6777317155896397,1.0608265308771365
0.9,8022,True,100,1,True,-0.08171545839894494,-0.2485059714252199,0.3376250580468562,0.5864170361409191,0.9357991908643409
0.9,8023,True,100,1,True,-0.26643862189876105,-0.3596742864431334,0.2726439029237608,0.6600296485804462,0.9872738864194902
0.9,8024,True,100,1,True,-0.5285280653111792,0.16181344453219865,0.19238687694867448,0.7846654094945492,1.11471551782606
0.9,8025,True,100,1,True,-0.029784025684918836,-0.4004060243808636,0.28048710718114667,0.6908121595154562,1.0018820371547228
0.9,8026,True,99,2,True,-0.19839482391285473,-0.1529445751132108,0.18323594613428337,0.805353193424041,1.0204183809946668
0.9,8027,True,100,1,True,0.9533505119711176,0.7271680081268066,0.25258157658546954,0.7144366488182102,1.024018770630953
0.9,8028,True,99,1,True,-0.18701176000280065,-0.019894730296829012,0.21215718020281668,0.7500492349052961,1.029893178224587
0.9,8029,True,98,1,True,-0.4144327344966212,-0.13635193607725735,0.32242633070578997,0.6017009334072365,0.9609713094809889
0.9,8030,True,100,1,True,0.05867755580343264,-0.21095342595916158,0.20804447906961407,0.7885683981705538,1.010340762367373
0.9,8031,True,99,1,True,0.11781381695657728,0.1008933449774992,0.18964745940592664,0.7917645771945301,0.9778510614379005
0.9,8032,True,100,1,True,-0.2924664152083111,0.5270653017666402,0.3065390243223765,0.5999582631509336,1.0178327501386224
0.9,8033,True,100,1,True,0.17474774542008242,0.13396658417599527,0.28540159258870057,0.6487903522643286,1.007449745653821
0.9,8034,True,100,1,True,-0.09418696666814746,0.020850862200366586,0.2548707466349403,0.6814868956092512,0.9067822920672062
0.9,8035,True,100,1,True,-0.19449078422870614,0.32659701354334103,0.2858985226281572,0.6698791882807752,0.9137933309910985
0.9,8036,True,100,1,True,-0.02886479458638691,-0.3181652807915406,0.24208418639660284,0.7396940439355858,1.068125177918025
0.9,8037,True,98,1,True,0.18191667647077686,-0.04569679339930621,0.21545624578425188,0.7646753255126418,1.0612566982284684
0.9,8038,True,99,1,True,0.08588615392402346,-0.011463042690590316,0.2485781339323776,0.6881365467026529,1.0822527015984862
0.9,8039,True,99,1,True,0.008360727883997582,0.06455194646443807,0.23576901997177396,0.7092428609265218,0.9893721676753788
0.9,8040,True,99,2,True,0.11158549546877863,0.0894797071116032,0.11924625819715093,0.9481064623843625,0.9997738032939882
0.9,8041,True,100,1,True,-0.0822317704436154,-0.4077621427548166,0.26856761940194923,0.7058206873343154,1.0082782260764982
0.9,8042,True,99,1,True,0.002012898620395385,0.15669258051474189,0.18546130395481034,0.7751423956555167,1.0423286551682514
0.9,8043,True,100,1,True,-0.07176584625381038,-0.5447312880484676,0.5158104372084255,0.46487562063106236,0.9835804791896344
0.9,8044,True,99,1,True,0.5653579456781748,-0.5232447026225713,0.30319651559756505,0.6120776609909324,1.0220801716847
0.9,8045,True,99,1,True,0.039178086578852175,-0.1090537662622936,0.16984767646047907,0.8174870762135269,0.9651881309067377
0.9,8046,True,99,1,True,0.3069395508137721,0.6509973705277956,0.20292977289990502,0.7524017018300528,1.0225881649454693
0.9,8047,True,100,1,True,-0.05248982547316047,0.7336761831746903,0.2741730460675284,0.6592154785810711,1.0027491244161575
0.9,8048,True,98,1,True,0.17717278170912248,0.025039563911775253,0.2196286791770945,0.7343329650684567,1.0162385186195064
0.9,8049,True,100,1,True,0.16985903600556113,0.4287538571164404,0.32846900869068524,0.6054275984017259,1.0799542771689912
1.0,7000,True,99,2,True,-0.054933523984463106,-0.002771984683751492,0.4373678061620811,0.5243050463772383,0.9534407618984528
1.0,7001,True,100,2,True,0.0358938557622028,-0.20574446772588934,0.2474468809454446,0.6985998578309024,0.9587771028738166
1.0,7002,True,100,1,True,0.13902444357498606,0.1771018665469576,0.2600208464227622,0.6417436814384427,0.9251370512329881
1.0,7003,True,99,1,True,0.12280171852823887,0.2901274341830712,0.24197237840663033,0.6885643729581219,0.9520020301177605
1.0,7004,True,100,1,True,0.20480397795951036,0.0451084905625519,0.22334622455398434,0.7391184979409843,0.9918411691026703
1.0,7005,True,99,1,True,-0.1554930665095483,-0.04699834584570699,0.2699920953218231,0.6770222134526023,0.96726844192694
1.0,7006,True,100,1,True,-0.011459893740609862,0.13755883509947422,0.25367427755059707,0.6950056043252539,0.9872751589915673
1.0,7007,True,100,1,True,0.19151376157786043,-0.016710415020104362,0.25592176141075235,0.6983034461196775,0.9451444292921073
1.0,7008,True,100,1,True,-0.14681303284831645,0.08617105385719839,0.24321358422895512,0.7288373798889649,1.017234726372442
1.0,7009,True,99,1,True,0.23100678623416188,-0.49792002888126957,0.20006653745330433,0.790176254511244,1.0018652466119384
1.0,7010,True,99,1,True,-0.028336477202763832,0.06916550262777067,0.1871374472840678,0.7797585774055975,0.9838912074197183
1.0,7011,True,99,1,True,-0.03545715391544481,-1.6972905518933468,0.3803673691862958,0.5452270856330329,0.9806207801846826
