ID,x ,y,f1,f2
143,54.83638022,215.7502606,0.748827547,-0.576341349
145,32.14492383,220.1870941,0.110415411,0.057930785
146,19.167791,216.9071814,-0.251247829,0.363903051
151,233.6581305,221.0320619,1.550887584,0.572714835
152,50.78667245,221.8555887,1.72552889,0.119570003
153,169.1024275,222.1496585,-0.051783425,-0.093996816
154,28.5334952,224.2768389,0.299471166,0.148226537
155,30.94115445,222.4531655,0.117399061,-0.349589732
156,247.7203643,231.0570386,0.095541465,0.181559025
158,42.66607656,225.4359636,0.110933448,-0.179869386
159,29.16025318,229.2364757,0.162595884,0.115203301
160,234.1185959,231.9110731,0.299866155,-0.735926872
161,13.73228333,227.3014518,-0.055419086,-0.172778844
163,63.06832642,228.7866409,0.57495555,-0.570676624
164,36.91356758,228.5377994,0.338201635,-0.113404465
166,38.21384614,229.2657226,-1.47905235,0.010577322
167,53.76926106,235.721629,0.179920599,0.002570624
168,97.0599218,230.8581651,-1.104010563,-1.541867466
170,228.8958474,232.8587332,0.066754463,0.133113187
171,34.41960679,230.7641719,-0.348107074,0.183738259
172,54.88251393,233.0775388,0.5484834,0.25092807
173,14.15852659,232.5784332,0.092422024,-0.069804751
174,10.7873738,233.6344592,0.212424808,0.192492991
175,200.4209119,234.5686173,0.219790181,0.044342839
176,237.0623053,235.836571,0.070433523,0.337056781
179,192.8001793,239.4784356,0.099764209,0.141281045
182,20.81762861,239.5055337,0.014826017,-0.238127046
183,14.05245744,239.7408335,1.087653274,0.505157587
184,179.1087578,239.6489303,0.663733882,-0.277614295
185,234.967419,242.9344663,0.177304861,0.111433962
186,12.08400358,241.6133488,0.207874707,1.227943456
187,45.04066833,245.5290472,0.167221543,-0.25876844
188,45.58551751,249.0524525,-0.145203928,0.010848245
189,25.27364419,246.5366956,0.65670535,0.261574829
190,215.6108972,244.7056923,0.154282465,0.116638932
191,38.86823161,247.3885785,0.241998774,0.0968355
192,71.04114358,247.0058949,0.16593352,0.361701857
195,224.4434809,245.8689706,0.043828411,0.171342913
196,51.44812061,245.1783513,-0.657757027,-0.779821385
198,18.54926119,245.6384945,0.029522141,0.392391932
200,39.88015946,249.782408,0.824501895,0.344301076
201,243.3495634,248.2372888,0.533122885,-0.410184189
202,81.37002931,256.2903545,-0.516349072,-0.18397236
203,183.1547598,248.1200864,0.167221569,0.170954495
205,236.5826732,248.1798449,0.160479382,0.158401134
207,83.92579319,249.5816456,0.297503342,0.035287542
208,78.11788127,254.544389,0.468837883,0.075307268
209,69.14263478,250.1552915,1.120621954,-0.866934871
210,86.9084017,250.8651599,-0.827423229,-0.178610562
212,54.80707853,253.3004292,-0.092962559,0.554789611
213,186.8422251,253.6447534,0.191382044,0.016405591
214,230.9937629,256.5090799,0.477616812,0.007213345
215,173.754635,254.8512338,0.225320352,0.117561979
216,179.0003951,256.3875265,0.036701717,0.45374949
218,195.059862,263.8753768,0.113930767,-0.069013326
219,183.6995006,260.3131249,0.034981418,0.068394597
222,48.89337808,263.0714086,0.382396206,-0.601654479
224,219.4909984,262.8869701,0.065899997,0.13165592
225,180.486968,263.8687144,-0.063836565,0.37326801
226,42.47616397,262.5738449,0.630066628,-0.972453043
227,80.15162195,263.4437393,0.76621705,-0.152628605
229,36.4917098,264.2551326,-0.205820609,0.397854899
230,42.69275711,263.1092647,1.621823887,1.129443657
232,35.61521541,264.321047,1.247938901,0.811853808
233,202.0950661,268.0231893,0.015769055,0.023604857
234,191.2964826,266.2482144,0.041685299,0.015531319
235,165.3509984,268.8920581,0.495248835,-0.739880171
236,162.8520956,267.7177981,0.507964972,0.347136871
237,156.313516,269.7299333,-0.050224164,0.19661498
238,167.9143405,267.4109242,0.426680411,0.673431982
240,163.2267533,274.1618669,0.561396832,-0.453453683
241,164.6849406,265.3940285,0.858876353,-0.250887672
242,183.9215153,268.8874972,0.079662441,0.36321618
243,201.6252921,273.4264503,-0.04833001,-0.688734716
244,155.2982965,269.7297013,-0.228874143,0.675165555
245,86.01666986,271.5746448,-0.147431788,0.52654798
247,200.942972,271.8528146,0.204160336,0.059597753
250,82.93067862,274.0541428,0.537139501,-1.717092633
251,62.90082153,279.3742217,-0.345088574,0.196522675
252,222.6953697,274.1385935,0.150744433,-0.073452994
253,159.3556793,273.2642057,0.130877543,0.593209475
254,84.77545851,274.6952773,0.359740141,0.72937246
255,162.966836,279.2888305,0.002111825,-0.02350523
256,202.8807592,276.2590375,0.114547572,-0.420756529
257,159.5878946,276.1771402,-0.026270154,-0.14863149
258,206.8016565,276.4181939,-0.577570657,-0.347882176
259,61.62358441,277.2538056,-0.664984567,-1.383910735
260,230.4654528,277.7810001,-0.633424928,-1.551886244
261,166.3618885,276.4138225,0.026954554,0.33494415
262,205.3560751,277.765957,-0.164456447,0.261371448
263,186.2186258,278.6322891,-0.033097418,0.277086786
264,197.1090186,283.5578402,-0.023330791,0.200755532
265,88.00621172,282.3160398,-0.015691768,-0.003595256
266,143.5700487,282.2638006,0.454091956,-0.252636898
267,107.7586449,284.1959024,-0.277983065,0.145607883
