i,x,y,M200,concentration
672,23.210507617696173,90.55599138592942,1887665623599.5732,4.890233157689773
379,72.77809787724554,45.035367022221934,367574566955892.9,3.1406406928044093
379,87.33890108311826,28.6950507233349,337716155049397.06,3.1630708322403374
454,72.77809787724554,45.035367022221934,369529895935573.4,3.139241354957104
454,87.33890108311826,28.6950507233349,341088257907098.0,3.160432091554713
454,23.210507617696173,90.55599138592942,1893975495859.6946,4.888862532725357
700,72.77809787724554,45.035367022221934,374628145937795.5,3.135630194204644
700,87.33890108311826,28.6950507233349,345042572345100.6,3.1573735485728642
700,23.210507617696173,90.55599138592942,1876892536374.4988,4.892584796398635
362,72.77809787724554,45.035367022221934,376792665455124.6,3.1341131140529037
362,87.33890108311826,28.6950507233349,345942473773665.8,3.1566828090975716
362,23.210507617696173,90.55599138592942,1898596883884.9087,4.8878618153813616
36,72.77809787724554,45.035367022221934,370852541300667.1,3.138299342625796
36,87.33890108311826,28.6950507233349,342409111407050.94,3.159406194950173
36,23.210507617696173,90.55599138592942,1853157349697.5776,4.897817952334156
367,72.77809787724554,45.035367022221934,374402243971514.25,3.1357890729156637
367,87.33890108311826,28.6950507233349,344719696571242.6,3.1576218552409503
367,23.210507617696173,90.55599138592942,1881033521314.2988,4.891679140874043
695,72.77809787724554,45.035367022221934,374168420771219.0,3.1359536321772556
695,87.33890108311826,28.6950507233349,344560156608188.8,3.157744642061823
695,23.210507617696173,90.55599138592942,569646224197.9009,5.407996886430295
628,72.77809787724554,45.035367022221934,370742435506355.4,3.1383776229222993
628,87.33890108311826,28.6950507233349,341199294764646.56,3.160345684435584
628,23.210507617696173,90.55599138592942,1985711318411.012,4.8694769934579485
658,72.77809787724554,45.035367022221934,374473978031903.8,3.1357386105038083
658,87.33890108311826,28.6950507233349,344391775104325.56,3.157874300466924
658,23.210507617696173,90.55599138592942,1884339117493.1538,4.890957739167224
205,72.77809787724554,45.035367022221934,373401579853895.9,3.1364941000725626
205,87.33890108311826,28.6950507233349,337283256178766.94,3.1634116519592577
205,23.210507617696173,90.55599138592942,1888089662451.7678,4.890140892779491
63,72.77809787724554,45.035367022221934,374309282082266.1,3.1358544839592755
63,87.33890108311826,28.6950507233349,346831370605893.5,3.1560024259725954
63,23.210507617696173,90.55599138592942,1849262861576.534,4.898683548112956
592,72.77809787724554,45.035367022221934,374490849573072.75,3.1357267434845704
592,87.33890108311826,28.6950507233349,344833051450237.3,3.1575346512960056
592,23.210507617696173,90.55599138592942,1879615870984.8088,4.891988945069344
578,72.77809787724554,45.035367022221934,374538099997588.0,3.135693511804173
578,87.33890108311826,28.6950507233349,344888947060456.94,3.15749166222349
578,18.896972884274945,90.68086197826813,4787910949938.829,4.522462789732622
578,135.53484952710772,80.95488985146808,90492032188.99043,6.311782180481455
867,72.77809787724554,45.035367022221934,370623972921939.94,3.138461872670631
867,87.33890108311826,28.6950507233349,340645042832753.4,3.160777298510289
867,23.210507617696173,90.55599138592942,1886211978297.2256,4.890549621140782
969,76.42216832656777,43.50299036367649,395628800303277.56,3.1212969508631496
645,72.77809787724554,45.035367022221934,371127936293265.0,3.138103659359862
645,87.33890108311826,28.6950507233349,341866863974350.6,3.1598268343598104
645,23.210507617696173,90.55599138592942,1967437071843.9824,4.8732601970117315
1049,72.77809787724554,45.035367022221934,374081807177080.2,3.1360146170808867
1049,87.33890108311826,28.6950507233349,344994145219923.9,3.1574107752520613
1049,23.210507617696173,90.55599138592942,1884145420820.3792,4.890999972999454
796,72.77809787724554,45.035367022221934,372502688478022.06,3.1371291707371394
796,87.33890108311826,28.6950507233349,343378500313411.75,3.1586560038975984
796,23.210507617696173,90.55599138592942,1872501587419.5771,4.893547489499264
88,72.77809787724554,45.035367022221934,376183651677292.2,3.13453900592352
88,87.33890108311826,28.6950507233349,345524051566628.9,3.157003735849759
88,23.210507617696173,90.55599138592942,1852589528678.071,4.897944034374254
349,72.77809787724554,45.035367022221934,366205619942999.4,3.141625195154441
349,87.33890108311826,28.6950507233349,339368971236503.06,3.1617739178884268
349,23.210507617696173,90.55599138592942,1850098265544.9897,4.898497703386761
540,75.38013674866706,43.804291866075786,390232355433051.9,3.1248999458402253
98,72.77809787724554,45.035367022221934,374490475583077.4,3.1357270065334792
98,87.33890108311826,28.6950507233349,345587696975171.94,3.1569548931319362
98,23.210507617696173,90.55599138592942,1869577893072.4265,4.894189852681193
