,NAME,z_use,X_WORLD,Y_WORLD,SNR,FROM,epoch,f435w-f606w,f435w-f814w,f814w-f606w,mag_F814W,xc,yc,ns,rs,q,phi,psi11,psi12,psi22,psi111,psi112,psi122,psi222,err_xc,err_yc,err_ns,err_rs,err_q,err_phi,err_psi11,err_psi12,err_psi22,err_psi111,err_psi112,err_psi122,err_psi222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,a_pix,G1_fit,G2_fit,f1,f2,g1,g2,F,F_pix,G,stamp-size,X_IMAGE,Y_IMAGE,xs,ys,overlap_flag
211,abell2744_446,0.5085,3.588285824,-30.41599062,31.71477366,f814w_w_f814w,2,1.7084,1.8235,-0.1151,25.85228793,-1.629685346,-1.200077657,0.619812361,2.926358438,2.483314026,-0.032861389,0,0,0,-0.016540916,0.008852765,0.009677676,-0.028238381,0.204461114,0.089054344,0.018952138,0.057895682,0.086294631,0.015445939,0,0,0,0.005450456,0.003698264,0.005243189,0.015154365,0.404295998,-0.00343162,-0.009692808,0.225566534,-115.6506431,28.14524038,15.47257097,18.36369265,0.004825857,0.025670588,0,0,0.000311559,0.000385785,0.432488071,-1.809153043,7.518884462,-0.022786972,0.027398338,-0.114387342,-0.323093596,-0.75956574,0.913277926,0.34274471,0.010282341,1.187862232,48,4717.712494,2738.104718,141.5313748,82.14314154,0
212,abell2744_453,0.7572,3.580437404,-30.41575413,37.25722883,f814w_w_f814w,2,2.2526,2.5687,-0.3161,25.80958566,-1.511426075,-1.846115832,0.938528898,2.855985755,1.337817436,0.802836684,0,0,0,-2.75E-05,-0.004509903,-0.0010516,0.00419625,0.05328318,0.089256939,0.018652773,0.057123038,0.040770825,0.050102353,0,0,0,0.006872047,0.005206751,0.004707913,0.006502778,0.329820779,-0.000539526,-0.000156827,0.216537224,-25.48287392,-12.13014881,4.575093583,9.642339972,-0.003751232,-9.20E-05,0,0,0.000257438,0.000369579,0.740052359,-1.450134328,7.217907481,0.001563674,-0.00886298,-0.017984215,-0.005227561,0.052122456,-0.29543265,0.018728572,0.000561857,0.299995335,50,5529.899228,2766.495689,165.8969769,82.99487067,0
213,abell2744_455,0.3581,3.613346765,-30.41544421,21.76656385,f435w_w_f814w,2,1.4699,1.1839,0.286,25.07106129,-2.049481623,-0.944297119,1.714873352,0.620596726,1.356636371,-1.037761874,0,0,0,0.032571735,-0.011508587,0.012258123,0.010369108,0.020238755,0.025156443,0.010639221,0.008338999,0.020811598,0.023340853,0,0,0,0.002144156,0.001696625,0.001794248,0.003777577,0.605641178,0.022414929,-0.000569739,0.228113522,42.58618872,-29.83785322,5.934399537,86.87013388,0.004380599,0.00696743,0,0,0.000228261,0.000370076,1.005853554,-0.985179908,7.603784056,-0.002101317,-0.022447434,0.7471643,-0.018991305,-0.070043884,-0.748247801,0.74740562,0.022422169,0.751519073,66,2124.288753,2803.258346,63.7286626,84.09775037,0
214,abell2744_463,0.4193,3.6143221,-30.41504324,91.29796184,f814w_w_f814w,2,74.6122,74.8552,-0.243,24.26283183,-1.79872906,-1.218802234,1.724711079,1.736950464,1.191931858,-1.330671562,0,0,0,-0.000575972,-0.002090346,-0.001442522,-0.004367946,0.008725413,0.008884267,0.006260898,0.006422575,0.011556919,0.029640712,0,0,0,0.007477908,0.001967077,0.007339374,0.000870096,0.411959042,-0.001009247,-0.003229146,0.471543402,-32.37884626,11.38399326,51.41309878,292.5214335,0.000844633,0.003967381,0,0,0.00036165,0.000584539,2.238054954,8.169131571,15.7181134,0.001875796,-0.000951546,-0.03364156,-0.107638206,0.062526547,-0.031718212,0.112772949,0.003383188,0.07011144,111,2023.343594,2851.347206,60.70030783,85.54041618,0
215,abell2744_469,2.3105,3.570624416,-30.41534323,30.84831021,f814w_w_f814w,2,1.6247,1.571,0.0537,27.57755816,-1.21645717,-1.397963146,0.672967638,5.530297183,1.332478378,-0.96571171,0,0,0,-0.019231902,-0.004086414,-0.001323465,0.004189714,0.185160642,0.196904098,0.022502142,0.118364502,0.046808338,0.064026761,0,0,0,0.009421675,0.005016644,0.004481171,0.006163326,0.288519055,-0.010277684,5.16E-05,0.252289306,4.261825167,-60.87410717,14.70528925,63.29178397,-0.000396578,-0.001085285,0,0,0.000318287,0.000389377,0.409636644,-1.82459787,8.409643547,-0.007630754,-0.008224478,-0.342589452,0.001721664,-0.254358452,-0.274149268,0.342593778,0.010277813,0.373973319,67,6545.394618,2815.738732,196.3618385,84.47216197,0
216,abell2744_471,0.766,3.566417095,-30.41463722,37.82503769,f606w_w_f814w,2,2.3928,3.5517,-1.1589,23.32301514,-1.268139256,-2.438361142,1.441639046,1.327534823,2.945216296,0.722316712,0,0,0,-0.007565187,0.005436781,-0.001266462,0.009418129,0.016536115,0.010929643,0.002731197,0.003785786,0.012650421,0.00167591,0,0,0,0.000300255,0.001174694,0.000489237,0.000952798,1.237658724,-0.004415825,0.007427455,0.440749904,-73.49439641,-29.80032803,9.8339363,46.60370282,-0.000256139,0.000656439,0,0,0.000351452,0.000393983,0.22996656,-1.945081293,14.69166348,-0.001882901,0.003446107,-0.14719415,0.247581836,-0.062763375,0.11487022,0.288032782,0.008640983,0.130898467,89,6980.800826,2900.405325,209.4240248,87.01215976,0
217,abell2744_484ep2,0.4156,3.586143545,-30.4150684,21.0313491,f814w_w_f814w,2,1.9027,2.3451,-0.4424,26.14005637,-1.541928448,-1.025301207,0.767917452,3.839114176,1.084500166,0.056672272,0,0,0,0.010072732,-7.35E-05,-0.006113439,-0.004515865,0.143269428,0.128955349,0.024289723,0.096819967,0.043053563,0.246613035,0,0,0,0.010448743,0.007379347,0.006918912,0.01005635,0.33107252,0.001979646,-0.002294674,0.200562862,-3.072324656,-7.484618892,4.36150125,33.01201398,-0.000324749,0.011853185,0,0,0.000271904,0.000376363,0.664234804,-1.553467789,6.685428735,0.014206525,0.002147709,0.065988202,-0.076489119,0.473550834,0.071590284,0.10101994,0.003030598,0.478931688,45,4939.401731,2848.779935,148.1820519,85.46339804,0
218,abell2744_506,0.3687,3.580615394,-30.4141028,31.01022958,f606w_w_f814w,2,2.7393,2.9271,-0.1878,23.98633954,-0.950802458,-1.05271925,1.08130847,3.071413365,1.104932733,1.654897666,0,0,0,-0.00428222,-0.000611868,-0.005393696,-0.003542564,0.028062389,0.033458518,0.006782195,0.022165645,0.011327158,0.050680548,0,0,0,0.001741384,0.001361271,0.001867609,0.001871293,0.400174034,-0.004837958,-0.002077216,0.271936178,25.91312205,-9.99641368,-13.09513153,-59.890754,0.00211464,-0.00432925,0,0,0.000267623,0.000374493,0.685721093,-1.527617722,9.064539276,0.005949433,0.000853479,-0.161265262,-0.069240538,0.198314448,0.028449316,0.175501387,0.005265042,0.200344662,67,5511.485404,2964.654521,165.3445621,88.93963563,0
219,abell2744_507,0.3525,3.606561042,-30.41422382,24.70862988,f606w_w_f814w,2,1.9832,2.1898,-0.2066,24.58634015,-1.545793465,-2.217508217,1.17808229,3.185206924,1.038691435,0.867175967,0,0,0,-0.001390446,0.006269915,0.004387761,0.004473602,0.002956462,0.010136545,0.009232273,0.032297055,0.01417718,0.180888314,0,0,0,0.00255063,0.001268158,0.001285034,0.002462967,0.471189005,0.001498658,0.005371758,0.316675072,-6.507608177,44.3674089,26.09364795,132.2440616,0.000305586,0.00649559,0,0,0.000296519,0.000400336,0.611482975,-1.621808399,10.55583572,-0.007276865,0.007168071,0.049955252,0.179058606,-0.242562176,0.238935695,0.185896508,0.005576895,0.340480066,73,2826.477005,2949.873942,84.79431014,88.49621826,0
220,abell2744_510,0.3528,3.578481309,-30.41441609,26.77691525,f814w_w_f814w,2,4.3063,4.2292,0.0771,25.86481627,-1.401021709,-0.976216808,0.899506535,6.19426958,1.3043848,-1.001629275,0,0,0,0.006794916,-0.004272881,-0.000448528,0.000271107,0.236298047,0.255804353,0.029024507,0.167917987,0.052652121,0.085729227,0,0,0,0.005938609,0.00391283,0.003748118,0.005494113,0.325455205,0.003173194,-0.002000887,0.353738286,76.19104447,19.3389234,29.114255,-36.59772968,0.005796796,0.001065214,0,0,0.000233577,0.00036084,0.899869597,-1.185070633,11.79127621,0.004070249,-0.006544874,0.105773138,-0.066696228,0.135674974,-0.218162483,0.125045366,0.003751361,0.256909649,82,5732.331654,2927.053812,171.9699496,87.81161435,0
