catalog,src_id,img_id,ra_deg,dec_deg,theta_x_arcsec,theta_y_arcsec,z,z_type,z_err,pos_err_arcsec,notes
Furtak2023,25250,25250.1,3.617029,-30.379371,89.130761,74.757585,,unknown,,,from_vizier
Furtak2023,25251,25251.1,3.605031,-30.379376,51.869239,74.745898,,unknown,,,from_vizier
Furtak2023,25252,25252.1,3.604603,-30.379367,50.539926,74.777749,,unknown,,,from_vizier
Furtak2023,25253,25253.1,3.568270,-30.379383,-62.300473,74.717928,,unknown,,,from_vizier
Furtak2023,25254,25254.1,3.553037,-30.379393,-109.610437,74.671437,,unknown,,,from_vizier
Furtak2023,25255,25255.1,3.545649,-30.379356,-132.553274,74.798295,,unknown,,,from_vizier
Furtak2023,25256,25256.1,3.533723,-30.379358,-169.593342,74.772658,,unknown,,,from_vizier
Furtak2023,25257,25257.1,3.531447,-30.379342,-176.662256,74.828004,,unknown,,,from_vizier
Furtak2023,25258,25258.1,3.506617,-30.379331,-253.777015,74.821314,,unknown,,,from_vizier
Furtak2023,25259,25259.1,3.629461,-30.379343,127.741554,74.844908,,unknown,,,from_vizier
Furtak2023,25260,25260.1,3.623624,-30.380020,109.610972,72.414761,,unknown,,,from_vizier
Furtak2023,25261,25261.1,3.623562,-30.379721,109.419728,73.491181,,unknown,,,from_vizier
Furtak2023,25262,25262.1,3.594217,-30.379339,18.282741,74.884110,,unknown,,,from_vizier
Furtak2023,25263,25263.1,3.576357,-30.379396,-37.183926,74.675684,,unknown,,,from_vizier
Furtak2023,25264,25264.1,3.576446,-30.379367,-36.907094,74.779538,,unknown,,,from_vizier
Furtak2023,25265,25265.1,3.576637,-30.379425,-36.315240,74.571801,,unknown,,,from_vizier
Furtak2023,25266,25266.1,3.558313,-30.379772,-93.222624,73.311304,,unknown,,,from_vizier
Furtak2023,25267,25267.1,3.555595,-30.379363,-101.666116,74.781520,,unknown,,,from_vizier
Furtak2023,25268,25268.1,3.555447,-30.379354,-102.123532,74.813275,,unknown,,,from_vizier
Furtak2023,25269,25269.1,3.555061,-30.379365,-103.323150,74.774023,,unknown,,,from_vizier
Furtak2023,25270,25270.1,3.509351,-30.379492,-245.284264,74.248650,,unknown,,,from_vizier
Furtak2023,25271,25271.1,3.509435,-30.379388,-245.024491,74.623242,,unknown,,,from_vizier
Furtak2023,25272,25272.1,3.630454,-30.379338,130.824331,74.861348,,unknown,,,from_vizier
Furtak2023,25273,25273.1,3.621010,-30.379429,101.495520,74.546165,,unknown,,,from_vizier
Furtak2023,25274,25274.1,3.576272,-30.379333,-37.450142,74.903833,,unknown,,,from_vizier
Furtak2023,25275,25275.1,3.554793,-30.379335,-104.157397,74.883239,,unknown,,,from_vizier
Furtak2023,25276,25276.1,3.553249,-30.379321,-108.951044,74.929936,,unknown,,,from_vizier
Furtak2023,25277,25277.1,3.546459,-30.379332,-130.038677,74.883278,,unknown,,,from_vizier
Furtak2023,25278,25278.1,3.519664,-30.379469,-213.255197,74.349806,,unknown,,,from_vizier
Furtak2023,25279,25279.1,3.591727,-30.379573,10.548580,74.039369,,unknown,,,from_vizier
Furtak2023,25280,25280.1,3.591727,-30.379471,10.548590,74.408780,,unknown,,,from_vizier
Furtak2023,25281,25281.1,3.591400,-30.379764,9.533372,73.353079,1.795000,unknown,,,from_vizier
Furtak2023,25282,25282.1,3.590638,-30.379446,7.168657,74.498249,,unknown,,,from_vizier
Furtak2023,25283,25283.1,3.590740,-30.379392,7.485256,74.693712,,unknown,,,from_vizier
Furtak2023,25284,25284.1,3.590873,-30.379380,7.899013,74.735033,,unknown,,,from_vizier
Furtak2023,25285,25285.1,3.590715,-30.379562,7.405675,74.082439,,unknown,,,from_vizier
Furtak2023,25286,25286.1,3.585311,-30.379317,-9.377501,74.964017,,unknown,,,from_vizier
Furtak2023,25287,25287.1,3.576885,-30.379404,-35.543539,74.646712,,unknown,,,from_vizier
Furtak2023,25288,25288.1,3.576838,-30.379335,-35.689494,74.896954,,unknown,,,from_vizier
Furtak2023,25289,25289.1,3.561582,-30.379312,-83.070665,74.969713,,unknown,,,from_vizier
Furtak2023,25290,25290.1,3.554323,-30.379307,-105.616377,74.983104,,unknown,,,from_vizier
Furtak2023,25291,25291.1,3.531343,-30.379326,-176.983910,74.885781,,unknown,,,from_vizier
Furtak2023,25292,25292.1,3.518632,-30.379503,-216.462134,74.227860,,unknown,,,from_vizier
Furtak2023,25293,25293.1,3.518783,-30.379357,-215.991556,74.752694,,unknown,,,from_vizier
Furtak2023,25294,25294.1,3.501852,-30.379305,-268.575857,74.902457,,unknown,,,from_vizier
Furtak2023,25295,25295.1,3.612820,-30.379346,76.060278,74.849751,,unknown,,,from_vizier
Furtak2023,25296,25296.1,3.600116,-30.379339,36.603941,74.881470,,unknown,,,from_vizier
Furtak2023,25297,25297.1,3.571468,-30.379317,-52.369450,74.958448,,unknown,,,from_vizier
Furtak2023,25298,25298.1,3.557014,-30.379323,-97.259826,74.929236,,unknown,,,from_vizier
Furtak2023,25299,25299.1,3.517037,-30.379394,-221.416477,74.617209,,unknown,,,from_vizier
Furtak2023,25300,25300.1,3.512203,-30.379295,-236.428179,74.962441,,unknown,,,from_vizier
Furtak2023,25301,25301.1,3.506319,-30.379360,-254.701925,74.714438,,unknown,,,from_vizier
Furtak2023,25302,25302.1,3.579419,-30.379657,-27.675799,73.737354,,unknown,,,from_vizier
Furtak2023,25303,25303.1,3.579718,-30.379515,-26.745437,74.249137,,unknown,,,from_vizier
Furtak2023,25304,25304.1,3.579368,-30.379505,-27.833753,74.286687,,unknown,,,from_vizier
Furtak2023,25305,25305.1,3.558270,-30.379291,-93.357609,75.043248,,unknown,,,from_vizier
Furtak2023,25306,25306.1,3.521760,-30.379532,-206.747517,74.126787,,unknown,,,from_vizier
Furtak2023,25307,25307.1,3.522233,-30.379680,-205.275917,73.597274,,unknown,,,from_vizier
Furtak2023,25308,25308.1,3.522675,-30.379897,-203.903000,72.816889,,unknown,,,from_vizier
Furtak2023,25309,25309.1,3.522785,-30.379857,-203.562291,72.959601,,unknown,,,from_vizier
Furtak2023,25310,25310.1,3.632178,-30.379576,136.179627,74.004161,,unknown,,,from_vizier
Furtak2023,25311,25311.1,3.632162,-30.379344,136.127827,74.838395,,unknown,,,from_vizier
Furtak2023,25312,25312.1,3.624216,-30.379297,111.450797,75.016480,,unknown,,,from_vizier
Furtak2023,25313,25313.1,3.533169,-30.379290,-171.313046,75.016760,,unknown,,,from_vizier
Furtak2023,25314,25314.1,3.528446,-30.379499,-185.983172,74.258764,,unknown,,,from_vizier
Furtak2023,25315,25315.1,3.555731,-30.379282,-101.243073,75.072815,,unknown,,,from_vizier
Furtak2023,25316,25316.1,3.553884,-30.379305,-106.978751,74.989545,,unknown,,,from_vizier
Furtak2023,25317,25317.1,3.545313,-30.379282,-133.597812,75.063238,,unknown,,,from_vizier
Furtak2023,25318,25318.1,3.536456,-30.379288,-161.105283,75.031018,,unknown,,,from_vizier
Furtak2023,25319,25319.1,3.639403,-30.379293,158.618305,75.012343,,unknown,,,from_vizier
Furtak2023,25320,25320.1,3.631246,-30.379276,133.284283,75.084088,,unknown,,,from_vizier
Furtak2023,25321,25321.1,3.583393,-30.379449,-15.332153,74.487909,,unknown,,,from_vizier
Furtak2023,25322,25322.1,3.582728,-30.379261,-17.398035,75.163946,,unknown,,,from_vizier
Furtak2023,25323,25323.1,3.558162,-30.379284,-93.694036,75.070481,,unknown,,,from_vizier
Furtak2023,25324,25324.1,3.543324,-30.379275,-139.775890,75.087635,,unknown,,,from_vizier
Furtak2023,25325,25325.1,3.529175,-30.379248,-183.717798,75.162601,,unknown,,,from_vizier
Furtak2023,25326,25326.1,3.591700,-30.379265,10.465557,75.150958,,unknown,,,from_vizier
Furtak2023,25327,25327.1,3.551405,-30.379273,-114.679764,75.103068,,unknown,,,from_vizier
Furtak2023,25328,25328.1,3.545902,-30.379272,-131.769715,75.098520,,unknown,,,from_vizier
Furtak2023,25329,25329.1,3.508315,-30.379238,-248.504086,75.160554,,unknown,,,from_vizier
Furtak2023,25330,25330.1,3.497307,-30.379225,-282.690696,75.181191,,unknown,,,from_vizier
Furtak2023,25331,25331.1,3.629756,-30.379239,128.657940,75.218651,,unknown,,,from_vizier
Furtak2023,25332,25332.1,3.581560,-30.379258,-21.025173,75.174666,,unknown,,,from_vizier
Furtak2023,25333,25333.1,3.578854,-30.379407,-29.430275,74.638293,,unknown,,,from_vizier
Furtak2023,25334,25334.1,3.546355,-30.379253,-130.361185,75.169729,,unknown,,,from_vizier
Furtak2023,25335,25335.1,3.501211,-30.379276,-270.567059,75.007111,,unknown,,,from_vizier
Furtak2023,25336,25336.1,3.626345,-30.379271,118.062354,75.107878,,unknown,,,from_vizier
Furtak2023,25337,25337.1,3.610666,-30.379236,69.369932,75.247142,,unknown,,,from_vizier
Furtak2023,25338,25338.1,3.589987,-30.379360,5.145661,74.806465,,unknown,,,from_vizier
Furtak2023,25339,25339.1,3.589928,-30.379278,4.963520,75.101729,,unknown,,,from_vizier
Furtak2023,25340,25340.1,3.585995,-30.379283,-7.251980,75.084001,,unknown,,,from_vizier
Furtak2023,25341,25341.1,3.573860,-30.379244,-44.939618,75.222876,,unknown,,,from_vizier
Furtak2023,25342,25342.1,3.555722,-30.379226,-101.271209,75.276302,,unknown,,,from_vizier
Furtak2023,25343,25343.1,3.509614,-30.379245,-244.470214,75.135785,,unknown,,,from_vizier
Furtak2023,25344,25344.1,3.549487,-30.379243,-120.635807,75.207672,,unknown,,,from_vizier
Furtak2023,25345,25345.1,3.521959,-30.379234,-206.128627,75.201205,,unknown,,,from_vizier
Furtak2023,25346,25346.1,3.513170,-30.379221,-233.425442,75.231713,,unknown,,,from_vizier
Furtak2023,25347,25347.1,3.500587,-30.379288,-272.503300,74.962077,,unknown,,,from_vizier
Furtak2023,25348,25348.1,3.608070,-30.379227,61.306523,75.281062,,unknown,,,from_vizier
Furtak2023,25349,25349.1,3.519518,-30.379202,-213.710599,75.310787,,unknown,,,from_vizier
Furtak2023,25350,25350.1,3.505673,-30.379191,-256.708307,75.321349,,unknown,,,from_vizier
Furtak2023,25351,25351.1,3.603833,-30.379198,48.147417,75.389010,,unknown,,,from_vizier
Furtak2023,25352,25352.1,3.604115,-30.379264,49.023088,75.151598,,unknown,,,from_vizier
Furtak2023,25353,25353.1,3.527668,-30.379170,-188.397581,75.442651,,unknown,,,from_vizier
Furtak2023,25354,25354.1,3.636718,-30.379184,150.280494,75.409110,,unknown,,,from_vizier
Furtak2023,25355,25355.1,3.634680,-30.379211,143.950841,75.314285,,unknown,,,from_vizier
Furtak2023,25356,25356.1,3.556737,-30.379169,-98.117583,75.483426,,unknown,,,from_vizier
Furtak2023,25357,25357.1,3.602746,-30.379201,44.772621,75.378959,,unknown,,,from_vizier
Furtak2023,25358,25358.1,3.588642,-30.379159,0.969456,75.530356,,unknown,,,from_vizier
Furtak2023,25359,25359.1,3.554522,-30.379320,-104.998271,74.936411,,unknown,,,from_vizier
Furtak2023,25360,25360.1,3.554582,-30.379234,-104.812415,75.247666,,unknown,,,from_vizier
Furtak2023,25361,25361.1,3.533830,-30.379178,-169.260639,75.421489,,unknown,,,from_vizier
Furtak2023,25362,25362.1,3.526373,-30.379172,-192.419734,75.433887,,unknown,,,from_vizier
Furtak2023,25363,25363.1,3.510223,-30.379146,-242.577498,75.493969,,unknown,,,from_vizier
Furtak2023,25364,25364.1,3.620071,-30.379508,98.578829,74.260363,,unknown,,,from_vizier
Furtak2023,25365,25365.1,3.620321,-30.379423,99.354721,74.568686,,unknown,,,from_vizier
Furtak2023,25366,25366.1,3.598903,-30.379179,32.836773,75.458262,,unknown,,,from_vizier
Furtak2023,25367,25367.1,3.574517,-30.379144,-42.897713,75.583572,,unknown,,,from_vizier
Furtak2023,25368,25368.1,3.541492,-30.379189,-145.464630,75.393958,,unknown,,,from_vizier
Furtak2023,25369,25369.1,3.522867,-30.379141,-203.310365,75.537082,,unknown,,,from_vizier
Furtak2023,25370,25370.1,3.515010,-30.379149,-227.709500,75.495670,,unknown,,,from_vizier
